date|status|DOD|dateb_20190821
2019-12-14|dead|2019-12-14|post
2019-12-14|dead|2019-12-14|post
2019-12-13|dead|2019-12-13|post
2019-12-13|dead|2019-12-13|post
2019-12-13|dead|2019-12-13|post
2019-12-12|dead|2019-12-12|post
2019-12-11|dead|2019-12-11|post
2019-12-11|dead|2019-12-11|post
2019-12-10|dead|2019-12-10|post
2019-12-10|dead|2019-12-10|post
2019-12-10|dead|2019-12-10|post
2019-12-08|dead|2019-12-08|post
2019-12-07|dead|2019-12-07|post
2019-12-06|dead|2019-12-06|post
2019-12-06|dead|2019-12-06|post
2019-12-06|dead|2019-12-06|post
2019-12-06|dead|2019-12-06|post
2019-12-05|dead|2019-12-05|post
2019-12-04|dead|2019-12-04|post
2019-12-01|dead|2019-12-01|post
2019-12-01|dead|2019-12-01|post
2019-12-01|dead|2019-12-01|post
2019-11-30|dead|2019-11-30|post
2019-11-30|dead|2019-11-30|post
2019-11-29|dead|2019-11-29|post
2019-11-29|dead|2019-11-29|post
2019-11-28|dead|2019-11-28|post
2019-11-26|dead|2019-11-26|post
2019-11-25|dead|2019-11-25|post
2019-11-25|dead|2019-11-25|post
2019-11-24|dead|2019-11-24|post
2019-11-22|dead|2019-11-22|post
2019-11-20|dead|2019-11-20|post
2019-11-17|dead|2019-11-17|post
2019-11-17|dead|2019-11-17|post
2019-11-17|dead|2019-11-17|post
2019-11-16|dead|2019-11-16|post
2019-11-16|dead|2019-11-16|post
2019-11-15|dead|2019-11-15|post
2019-11-14|dead|2019-11-14|post
2019-11-14|dead|2019-11-14|post
2019-11-13|dead|2019-11-13|post
2019-11-12|dead|2019-11-12|post
2019-11-12|dead|2019-11-12|post
2019-11-12|dead|2019-11-12|post
2019-11-11|dead|2019-11-11|post
2019-11-10|dead|2019-11-10|post
2019-11-07|dead|2019-11-07|post
2019-11-06|dead|2019-11-06|post
2019-11-06|dead|2019-11-06|post
2019-11-05|dead|2019-11-05|post
2019-11-05|dead|2019-11-05|post
2019-11-04|dead|2019-11-04|post
2019-11-03|dead|2019-11-03|post
2019-11-03|dead|2019-11-03|post
2019-11-03|dead|2019-11-03|post
2019-11-03|dead|2019-11-03|post
2019-11-02|dead|2019-11-02|post
2019-11-02|dead|2019-11-02|post
2019-11-01|dead|2019-11-01|post
2019-11-01|dead|2019-11-01|post
2019-11-01|dead|2019-11-01|post
2019-10-31|dead|2019-10-31|post
2019-10-31|dead|2019-10-31|post
2019-10-31|dead|2019-10-31|post
2019-10-31|dead|2019-10-31|post
2019-10-30|dead|2019-10-30|post
2019-10-29|dead|2019-10-29|post
2019-10-28|dead|2019-10-28|post
2019-10-26|dead|2019-10-26|post
2019-10-26|dead|2019-10-26|post
2019-10-26|dead|2019-10-26|post
2019-10-25|dead|2019-10-25|post
2019-10-25|dead|2019-10-25|post
2019-10-24|dead|2019-10-24|post
2019-10-24|dead|2019-10-24|post
2019-10-23|dead|2019-10-23|post
2019-10-23|dead|2019-10-23|post
2019-10-23|dead|2019-10-23|post
2019-10-23|dead|2019-10-23|post
2019-10-22|dead|2019-10-22|post
2019-10-22|dead|2019-10-22|post
2019-10-22|dead|2019-10-22|post
2019-10-22|dead|2019-10-22|post
2019-10-22|dead|2019-10-22|post
2019-10-21|dead|2019-10-21|post
2019-10-21|dead|2019-10-21|post
2019-10-21|dead|2019-10-21|post
2019-10-21|dead|2019-10-21|post
2019-10-20|dead|2019-10-20|post
2019-10-20|dead|2019-10-20|post
2019-10-20|dead|2019-10-20|post
2019-10-19|dead|2019-10-19|post
2019-10-19|dead|2019-10-19|post
2019-10-17|dead|2019-10-17|post
2019-10-17|dead|2019-10-17|post
2019-10-17|dead|2019-10-17|post
2019-10-17|dead|2019-10-17|post
2019-10-17|dead|2019-10-17|post
2019-10-16|dead|2019-10-16|post
2019-10-15|dead|2019-10-15|post
2019-10-14|dead|2019-10-14|post
2019-10-14|dead|2019-10-14|post
2019-10-14|dead|2019-10-14|post
2019-10-14|dead|2019-10-14|post
2019-10-14|dead|2019-10-14|post
2019-10-13|dead|2019-10-13|post
2019-10-12|dead|2019-10-12|post
2019-10-11|dead|2019-10-11|post
2019-10-10|dead|2019-10-10|post
2019-10-10|dead|2019-10-10|post
2019-10-09|dead|2019-10-09|post
2019-10-08|dead|2019-10-08|post
2019-10-05|dead|2019-10-05|post
2019-10-05|dead|2019-10-05|post
2019-10-05|dead|2019-10-05|post
2019-10-05|dead|2019-10-05|post
2019-10-04|dead|2019-10-04|post
2019-10-04|dead|2019-10-04|post
2019-10-04|dead|2019-10-04|post
2019-10-03|dead|2019-10-03|post
2019-10-03|dead|2019-10-03|post
2019-10-03|dead|2019-10-03|post
2019-10-03|dead|2019-10-03|post
2019-10-02|dead|2019-10-02|post
2019-09-30|dead|2019-09-30|post
2019-09-30|dead|2019-09-30|post
2019-09-30|dead|2019-09-30|post
2019-09-30|dead|2019-09-30|post
2019-09-27|dead|2019-09-27|post
2019-09-26|dead|2019-09-26|post
2019-09-26|dead|2019-09-26|post
2019-09-25|dead|2019-09-25|post
2019-09-25|dead|2019-09-25|post
2019-09-25|dead|2019-09-25|post
2019-09-25|dead|2019-09-25|post
2019-09-24|dead|2019-09-24|post
2019-09-24|dead|2019-09-24|post
2019-09-24|dead|2019-09-24|post
2019-09-23|dead|2019-09-23|post
2019-09-23|dead|2019-09-23|post
2019-09-22|dead|2019-09-22|post
2019-09-22|dead|2019-09-22|post
2019-09-22|dead|2019-09-22|post
