date|status
2019-06-12|dead
2019-06-13|dead
2019-06-15|dead
2019-06-15|dead
2019-06-15|dead
2019-06-15|dead
2019-06-17|dead
2019-06-18|dead
2019-06-18|dead
2019-06-19|dead
2019-06-20|dead
2019-06-21|dead
2019-06-22|dead
2019-06-23|dead
2019-06-25|dead
2019-06-27|dead
2019-06-28|dead
2019-06-28|dead
2019-06-29|dead
2019-06-29|dead
2019-06-29|dead
2019-06-30|dead
2019-06-30|dead
2019-07-02|dead
2019-07-02|dead
2019-07-03|dead
2019-07-03|dead
2019-07-05|dead
2019-07-05|dead
2019-07-06|dead
2019-07-09|dead
2019-07-09|dead
2019-07-10|dead
2019-07-11|dead
2019-07-12|dead
2019-07-16|dead
2019-07-16|dead
2019-07-16|dead
2019-07-17|dead
2019-07-17|dead
2019-07-19|dead
2019-07-20|dead
2019-07-22|dead
2019-07-23|dead
2019-08-02|dead
2019-08-02|dead
2019-08-03|dead
2019-08-05|dead
2019-08-08|dead
2019-08-08|dead
2019-08-09|dead
2019-08-09|dead
2019-08-09|dead
2019-08-10|dead
2019-08-12|dead
2019-08-13|dead
2019-08-13|Not_dead
2019-08-14|dead
2019-08-15|dead
2019-08-16|dead
2019-08-18|dead
2019-08-20|dead
2019-08-21|dead
2019-08-21|dead
2019-08-21|Not_dead
2019-08-22|dead
2019-08-23|dead
2019-08-23|dead
2019-08-23|dead
2019-08-24|dead
2019-08-25|dead
2019-08-26|dead
2019-08-27|dead
2019-08-28|dead
2019-08-28|dead
2019-08-28|dead
2019-08-29|dead
2019-08-30|dead
2019-08-31|dead
2019-08-31|dead
2019-09-02|dead
2019-09-02|dead
2019-09-02|dead
2019-09-03|dead
2019-09-03|dead
2019-09-04|dead
2019-09-04|dead
2019-09-04|dead
2019-09-05|dead
2019-09-05|dead
2019-09-05|dead
2019-09-05|dead
2019-09-05|dead
2019-09-06|dead
2019-09-06|dead
2019-09-06|dead
2019-09-06|dead
2019-09-07|dead
2019-09-07|dead
2019-09-07|Not_dead
2019-09-07|dead
2019-09-07|dead
2019-09-07|dead
2019-09-08|dead
2019-09-08|dead
2019-09-09|dead
2019-09-10|dead
2019-09-10|dead
